area,title,community,position,tax,total_price,unit_price,hourseType,hourseSize,direction,fitment
罗湖区,满五红本， 户型方正朝南，自住装修保养好，花园社区,金城华庭,螺岭,房本满五年,710,79552,3室1厅,89.25,南,精装
罗湖区,7号线洪湖站前59万平洪湖公园后京基水贝*2个万象城,洪湖东岸,翠竹,房本满五年,408,54736,3室1厅,74.54,西,精装
罗湖区,《供电南苑。复式三层四房户型》万象城，地理位置优越,供电南苑,万象城,房本满五年,850,67649,4室1厅,125.65,西,简装
罗湖区,不用明额 满两年红本 高层东南三房 有钥匙随时可看,翡翠公寓,翠竹,房本满五年,360,60627,3室2厅,59.38,南,精装
罗湖区,都市名园 2室1厅 370万,都市名园,万象城,,370,48259,2室1厅,76.67,东北,简装
罗湖区,晒布路73号大院 2室2厅 350万,晒布路73号大院,东门,房本满五年,350,47426,2室2厅,73.8,南,简装
罗湖区,文华花园高层精装三居室，可直接拎包入住，业主诚售,文华花园,黄贝岭,,350,40893,3室1厅,85.59,北,精装
罗湖区,凤凰印象 红本在手 满5年 唯一,凤凰印象,螺岭,房本满五年,308,70805,1室1厅,43.5,东北,精装
罗湖区,金源大厦 方正大两房  国贸商圈 地铁物业 住家直选,金源大厦,春风路,,310,39346,2室2厅,78.79,东南,简装
罗湖区,螺岭湖贝旧城改造圈覆盖，晒布、湖贝双地铁，好地段,华隆园,螺岭,,265,63489,1室1厅,41.74,东南,简装
罗湖区,中海天钻 ，大三房，花园小区，毛坯可以安喜好装修 。,中海天钻,万象城,房本满五年,900,89571,3室1厅,100.48,南,精装
罗湖区,靖轩豪苑 3房 户型方正实用 价格便宜,靖轩豪苑,黄贝岭,,520,58957,3室1厅,88.2,东,简装
罗湖区,置地逸轩 一室一厅 价格实在 诚心卖,置地逸轩,春风路,房本满五年,250,53090,1室1厅,47.09,北,其他
罗湖区,东门168 1室0厅 180万,东门168,螺岭,,180,83527,1室0厅,21.55,西南,其他
罗湖区,满五年  红本    厅出阳台  安静,缤纷时代家园,螺岭,房本满五年,440,76616,2室1厅,57.43,北,毛坯
罗湖区,业主自住 看房方便  交通配套完善,东港中心,东门,房本满五年,320,46384,2室1厅,68.99,东南 西北,精装
罗湖区,金泰名苑 4室2厅 680万,金泰名苑,百仕达,房本满五年,680,50906,4室2厅,133.58,南,精装
罗湖区,华丽花园，精装东南向三房，满五唯一，红本,华丽花园,螺岭,房本满五年,480,54367,3室1厅,88.29,西北,精装
罗湖区,祥和花园，精装3房，小区两边不靠路，安静住家！,祥和花园,莲塘,房本满五年,422,48512,3室2厅,86.99,西南,精装
罗湖区,黄贝岭 华丽花园 满五年 红本在手 业主诚心出售,华丽花园,螺岭,房本满五年,480,54238,3室1厅,88.5,东北,精装
罗湖区,莲塘口岸物业，紧凑小两房，采光通风好，地铁口,惠名花园,莲塘,,210,44796,2室1厅,46.88,东,简装
罗湖区,满五年唯一.朝向（东南）安静适合居家，看小区花园.,东乐花园,百仕达,房本满五年,450,35681,4室2厅,126.12,西南,简装
罗湖区,雍翠豪园复式5居室，诚心出售，配套成熟完善！,雍翠豪园,莲塘,房本满五年,780,60158,5室2厅,129.66,南,精装
罗湖区,东门优质两房，单价低总价低，老街地铁口，红本税少,南塘物业小区,东门,房本满五年,258,38868,2室2厅,66.38,北,简装
罗湖区,满五年、南北通透厅出阳台、伴山物业安静宜居,绿景山庄,布心,房本满五年,395,42242,3室1厅,93.51,东南,精装
罗湖区,此房户型方正，厅出阳台，中高楼层朝东看梧桐山景,仙湖枫景家园,莲塘,,325,49916,2室1厅,65.11,东,精装
罗湖区,洪湖公园旁，红本标准三房，视野无遮挡朝正南向。,丰湖花园,清水河,,382,45112,3室1厅,84.68,南,简装
